College,Year,Credit Enrollment Count,Credit Retention Count,Credit Success Count,Degree Applicable Enrollment Count,Degree Applicable Retention Count,Degree Applicable Success Count,Transferable Enrollment Count,Transferable Retention Count,Transferable Success Count
Saddleback,2023-2024,115645,104503,89959,114584,103608,89342,109731,99289,85549
San Bernardino,2020-2021,67663,58494,44397,65499,56712,43283,58725,50986,38922
San Bernardino,2021-2022,58913,50618,38417,57245,49264,37531,50344,43384,32835
San Bernardino,2022-2023,64278,55793,42835,62437,54293,41771,55517,48120,36661
San Bernardino,2023-2024,71493,62827,49148,69621,61264,47949,62214,54635,42217
San Diego City,2020-2021,61392,53456,43274,58347,50895,41458,55319,48252,39378
San Diego City,2021-2022,57058,49065,39298,54576,47012,37875,51866,44676,36052
San Diego City,2022-2023,60598,53088,42801,58103,51007,41283,55939,49113,39761
San Diego City,2023-2024,195639,174002,139906,186115,165862,133860,181437,161300,129780
San Diego Mesa,2020-2021,105493,93638,79387,103281,91778,78032,100490,89363,75949
San Diego Mesa,2021-2022,94217,82297,68875,92436,80787,67830,90165,78819,66162
San Diego Mesa,2022-2023,110952,99309,84790,108739,97471,83477,107194,96028,82198
San Diego Mesa,2023-2024,339494,305570,256886,331922,299117,251966,327349,294820,247957
San Diego Miramar,2020-2021,60637,54751,47320,58637,52958,45785,54778,49258,42315
San Diego Miramar,2021-2022,57408,51705,45045,52402,46812,40325,47870,42316,35871
San Diego Miramar,2022-2023,64463,59097,51590,58954,53670,46315,56541,51302,43977
San Diego Miramar,2023-2024,202038,186797,161124,187128,172288,147261,179589,164758,139756
San Francisco,2020-2021,94096,93709,81436,92470,92091,80056,90083,89709,78207
San Francisco,2021-2022,89725,81982,69166,88560,80915,68302,86994,79421,67196
San Francisco,2022-2023,91029,77634,64662,89656,76433,63776,89627,76405,63750
San Francisco,2023-2024,96790,84745,71362,95349,83510,70485,95322,83485,70464
San Joaquin Delta,2020-2021,103649,100001,77981,100389,96886,75519,96416,93115,72683
San Joaquin Delta,2021-2022,98960,92217,69656,96307,89768,67859,92664,86439,65344
San Joaquin Delta,2022-2023,102259,95295,73892,100383,93519,72450,97617,90879,70188
San Joaquin Delta,2023-2024,121537,113648,88348,119424,111672,86700,115258,107625,83175
San Jose City,2020-2021,41626,36440,30714,39318,34470,29091,37121,32537,27486
San Jose City,2021-2022,35642,31146,26017,33949,29745,24881,32032,28062,23441
San Jose City,2022-2023,38084,32546,26591,36357,31114,25480,34287,29304,23947
San Jose City,2023-2024,42236,36349,29600,40523,34941,28445,38285,32912,26715
San Mateo,2020-2021,37492,36674,31503,36627,35839,30899,35039,34269,29435
San Mateo,2021-2022,36729,33922,28754,35773,33074,28121,34092,31467,26622
San Mateo,2022-2023,42445,37508,31350,41194,36476,30549,39889,35251,29397
San Mateo,2023-2024,48507,42717,36255,46692,41277,35121,45593,40225,34121
Santa Ana,2020-2021,111582,98350,85969,111395,98177,85809,86500,74505,63643
Santa Ana,2021-2022,100282,87772,76199,100147,87648,76081,72866,61387,50985
Santa Ana,2022-2023,107887,93308,79460,107692,93124,79277,82639,69135,56410
Santa Ana,2023-2024,119579,105486,90475,119488,105406,90398,92713,79377,65439
Santa Barbara,2020-2021,84913,76383,62734,83729,75383,61987,81354,73181,60013
Santa Barbara,2021-2022,82462,74850,61352,81087,73655,60545,71225,64465,52526
Santa Barbara,2022-2023,83036,75554,61930,81937,74610,61285,31101,27851,22273
Santa Barbara,2023-2024,82319,75815,62170,81153,74705,61467,69994,64482,52551
Santa Monica,2020-2021,146918,134723,112834,144321,132595,111363,134417,123625,104429
Santa Monica,2021-2022,130573,118498,97995,129514,117524,97227,120511,109715,91255
Santa Monica,2022-2023,142012,120261,98349,141226,119564,97779,131436,112007,92131
Santa Monica,2023-2024,138576,125763,104375,137808,125068,103817,128614,117134,97651
Santa Rosa,2020-2021,94485,83761,70967,91347,80824,68329,81550,72115,60791
Santa Rosa,2021-2022,84014,74208,62368,81412,71777,60224,73199,64404,53814
Santa Rosa,2022-2023,87546,78083,66019,84873,75553,63653,76793,68134,57156
Santa Rosa,2023-2024,95164,85311,72578,92395,82724,70153,84051,75074,63367
Santiago Canyon,2020-2021,58749,51692,45472,58444,51462,45296,48946,42314,36457
Santiago Canyon,2021-2022,48190,42631,37831,47977,42467,37706,35094,29824,25476
Santiago Canyon,2022-2023,49434,43250,36928,49175,43070,36788,39225,33285,27444
Santiago Canyon,2023-2024,46935,40444,33459,46589,40205,33271,41233,35100,28522
Sequoias,2020-2021,67549,63446,52392,64788,60973,50485,61218,57556,47501
Sequoias,2021-2022,71497,63053,50096,68615,60666,48443,64475,56816,45119
Sequoias,2022-2023,78939,71125,57159,76088,68764,55473,71233,64225,51551
Sequoias,2023-2024,84339,76546,62588,81235,73905,60763,75734,68743,56255
Shasta,2020-2021,44569,39507,33168,44405,39361,33054,39679,35002,29304
Shasta,2021-2022,40650,36795,30796,40468,36632,30672,35936,32444,27031
Shasta,2022-2023,44017,39729,32840,43927,39645,32781,39522,35522,29199
Shasta,2023-2024,47097,42612,35008,47093,42608,35005,42539,38302,31188
Sierra,2020-2021,107637,92559,78529,106931,91923,77968,102418,88230,74874
Sierra,2021-2022,95285,82966,71343,94623,82374,70810,90993,79287,68164
Sierra,2022-2023,98633,87845,76233,98065,87327,75754,95300,84834,73573
Sierra,2023-2024,109359,98439,86041,108444,97603,85290,105232,94675,82679
Siskiyous,2020-2021,7376,6770,5750,6659,6067,5071,6353,5782,4826
Siskiyous,2021-2022,7099,6601,5601,6270,5784,4817,5889,5433,4489
Siskiyous,2022-2023,7054,6451,5352,6495,5910,4833,6198,5645,4611
Siskiyous,2023-2024,8197,7537,6461,7219,6584,5540,6786,6180,5168
Skyline,2020-2021,42179,41483,36210,41622,40937,35796,39568,38916,33968
Skyline,2021-2022,38551,36086,30920,37908,35483,30479,36331,33956,29098
Skyline,2022-2023,43072,38826,33202,42174,38040,32580,40404,36349,31033
Skyline,2023-2024,48370,43619,37657,47266,42669,36916,45072,40550,34930
Solano,2020-2021,51338,45517,38315,49910,44288,37315,46485,41225,34723
Solano,2021-2022,47556,41903,34522,46513,41006,33800,43118,38035,31349
Solano,2022-2023,49828,43982,37126,48552,42894,36204,46093,40705,34382
Solano,2023-2024,53830,47287,40926,52577,46220,40031,49717,43743,37879
Southwestern,2020-2021,105147,90008,76159,100857,86491,73413,97743,83859,71149
Southwestern,2021-2022,96996,82690,68793,93767,80144,66948,90926,77818,64975
Southwestern,2022-2023,113116,96436,76914,109528,93357,74652,107735,91794,73332
Southwestern,2023-2024,127494,107095,85273,122900,103412,82647,121199,101905,81408
Taft,2020-2021,23843,21990,17980,20963,19114,15154,16143,14472,10836
Taft,2021-2022,20596,19197,16197,17415,16028,13053,13094,11785,8999
Taft,2022-2023,22577,21369,18455,18614,17411,14522,13131,11981,9213
Taft,2023-2024,23903,22828,19557,22851,21779,18524,15111,14056,10874
Ventura,2020-2021,65000,57808,50673,64141,57087,50068,60642,53946,47305
Ventura,2021-2022,57311,51343,44865,56713,50806,44396,54092,48401,42238
Ventura,2022-2023,60770,54357,46728,59865,53559,46063,57446,51293,43998
Ventura,2023-2024,58143,50793,42976,57115,49870,42215,53527,46637,39351
Victor Valley,2020-2021,55326,51050,38931,54815,50562,38488,47463,43852,33380
Victor Valley,2021-2022,57585,50366,38960,57172,49979,38620,49802,43526,33574
Victor Valley,2022-2023,75226,64970,50589,74575,64380,50072,64368,55603,43182
Victor Valley,2023-2024,76117,65847,50572,75849,65596,50341,66218,57353,43819
West Hills Coalinga,2020-2021,16889,15342,13002,16836,15292,12953,15384,13913,11772
West Hills Coalinga,2021-2022,15098,13557,11390,15047,13510,11349,13717,12250,10250
West Hills Coalinga,2022-2023,14912,13719,11330,14830,13648,11267,13717,12586,10336
West Hills Coalinga,2023-2024,17726,16580,13937,17646,16503,13863,16336,15247,12763
West Hills Lemoore,2020-2021,21760,19502,16222,21340,19169,15971,20420,18394,15369
West Hills Lemoore,2021-2022,20460,18158,15060,20055,17817,14803,19202,17085,14238
West Hills Lemoore,2022-2023,22913,20773,17728,22409,20319,17377,21669,19662,16815
West Hills Lemoore,2023-2024,25302,23104,19948,24755,22614,19560,23833,21786,18804
West LA,2020-2021,49007,42439,35059,48744,42206,34853,44167,38091,31259
West LA,2021-2022,42849,36987,30467,42849,36987,30467,39054,33546,27471
West LA,2022-2023,41968,36768,30033,41968,36768,30033,38116,33129,26804
West LA,2023-2024,41900,37067,30213,41900,37067,30213,36192,31604,25261
West Valley,2020-2021,43985,38546,33810,42875,37593,32998,41733,36564,32188
West Valley,2021-2022,39019,33610,29381,38172,32886,28794,37325,32163,28198
West Valley,2022-2023,39072,34270,29691,38415,33674,29213,38124,33403,28998
West Valley,2023-2024,43261,38084,33116,42570,37487,32620,42307,37242,32407
Woodland,2020-2021,17266,15318,12940,17081,15167,12831,16216,14373,12184
Woodland,2021-2022,15312,13545,11260,15148,13414,11160,14312,12664,10550
Woodland,2022-2023,17011,14990,12466,16846,14861,12360,15845,13992,11659
Woodland,2023-2024,42906,37875,31946,42705,37724,31816,38984,34331,29095
Yuba,2020-2021,28435,25459,21769,27660,24805,21240,25128,22452,19171
Yuba,2021-2022,27206,24386,20559,26764,24012,20229,24910,22310,18778
Yuba,2022-2023,28854,26280,22310,28169,25637,21694,26574,24148,20359
Yuba,2023-2024,71437,64581,55160,70829,63998,54629,66257,59682,50564
