College,Year,Credit Enrollment Count,Credit Retention Count,Credit Success Count,Degree Applicable Enrollment Count,Degree Applicable Retention Count,Degree Applicable Success Count,Transferable Enrollment Count,Transferable Retention Count,Transferable Success Count
Coastline,2021-2022,31544,27878,24065,30899,27306,23570,30191,26744,23097
Coastline,2022-2023,35237,30936,26108,34470,30287,25548,34085,29988,25288
Coastline,2023-2024,38653,34052,28733,37921,33425,28199,37738,33256,28039
Columbia,2020-2021,11106,10236,9229,11088,10219,9217,9876,9072,8166
Columbia,2021-2022,12641,10813,9251,12626,10799,9240,10884,9269,7923
Columbia,2022-2023,14171,12328,10680,14146,12306,10660,11945,10242,8769
Columbia,2023-2024,15971,13943,12029,15953,13929,12015,13493,11656,9928
Compton,2020-2021,21105,17690,14829,20965,17586,14748,20454,17255,14489
Compton,2021-2022,19031,15951,13020,18876,15827,12906,18550,15604,12741
Compton,2022-2023,20629,17149,14079,20429,16989,13943,20239,16847,13831
Compton,2023-2024,24461,20345,16547,24323,20235,16441,24286,20201,16416
Contra Costa,2020-2021,30293,27017,22607,29410,26235,21946,27075,24167,20150
Contra Costa,2021-2022,28853,24935,20326,28182,24364,19908,26006,22453,18268
Contra Costa,2022-2023,30523,26562,21795,30053,26142,21446,27758,24202,19865
Contra Costa,2023-2024,47232,41758,34754,46531,41122,34258,43620,38473,31973
Copper Mountain,2020-2021,8510,7530,6297,8392,7445,6239,7817,6929,5782
Copper Mountain,2021-2022,7372,6597,5468,7272,6506,5409,6820,6113,5070
Copper Mountain,2022-2023,7475,6730,5610,7331,6596,5490,7031,6331,5261
Copper Mountain,2023-2024,8378,7535,6389,8210,7384,6253,7859,7072,5987
Cosumnes River,2020-2021,73233,61268,50923,71182,59492,49636,63624,53300,44618
Cosumnes River,2021-2022,66164,55038,45660,64491,53630,44549,58382,48597,40463
Cosumnes River,2022-2023,69686,59530,50002,67811,57987,48814,62589,53426,44904
Cosumnes River,2023-2024,78640,67431,56471,76593,65712,55129,70713,60557,50730
Crafton Hills,2020-2021,33900,30746,25074,33132,30036,24518,29969,27145,21991
Crafton Hills,2021-2022,28739,26022,21032,28061,25396,20515,25932,23497,18987
Crafton Hills,2022-2023,30015,27473,22419,29160,26683,21800,26755,24421,19830
Crafton Hills,2023-2024,32436,29732,24534,31688,29048,23960,28991,26514,21713
Cuesta,2020-2021,53029,45633,39234,52944,45553,39189,49404,42496,36527
Cuesta,2021-2022,49886,43490,37009,49775,43393,36925,46285,40291,34264
Cuesta,2022-2023,51399,45670,38770,51315,45586,38691,47894,42378,35799
Cuesta,2023-2024,53777,48168,40867,53671,48062,40762,50088,44593,37522
Cuyamaca,2020-2021,38925,34983,29796,36606,32933,28171,36062,32427,27705
Cuyamaca,2021-2022,36462,32075,27254,34544,30455,26009,33933,29904,25523
Cuyamaca,2022-2023,39333,34861,29133,37250,33042,27706,36696,32496,27243
Cuyamaca,2023-2024,43026,38713,33208,40587,36546,31423,39583,35569,30511
Cypress,2020-2021,79278,71725,62750,77197,69971,61402,74345,67491,59330
Cypress,2021-2022,73581,64903,55371,72223,63790,54586,69680,61703,52928
Cypress,2022-2023,77705,66798,55592,76151,65706,54843,75061,64753,53992
Cypress,2023-2024,85724,74496,62574,84045,73291,61769,82855,72224,60832
