College,Year,Student Count,EOPS Student Count
East LA,2018-2019,60359,2149
East LA,2019-2020,58464,2228
El Camino,2014-2015,32930,1184
El Camino,2015-2016,32374,1173
El Camino,2016-2017,33386,1687
El Camino,2017-2018,33796,1720
El Camino,2018-2019,34526,1746
El Camino,2019-2020,33284,1746
Evergreen Valley,2014-2015,13696,468
Evergreen Valley,2015-2016,13674,668
Evergreen Valley,2016-2017,13996,673
Evergreen Valley,2017-2018,14572,723
Evergreen Valley,2018-2019,14613,761
Evergreen Valley,2019-2020,14851,664
Feather River,2014-2015,3090,142
Feather River,2015-2016,3299,119
Feather River,2016-2017,2673,125
Feather River,2017-2018,3470,129
Feather River,2018-2019,3373,105
Feather River,2019-2020,2667,102
Folsom Lake,2014-2015,10904,181
Folsom Lake,2015-2016,12023,230
Folsom Lake,2016-2017,12095,274
Folsom Lake,2017-2018,12089,290
Folsom Lake,2018-2019,12335,333
Folsom Lake,2019-2020,12804,338
Foothill,2014-2015,28335,402
Foothill,2015-2016,29758,432
Foothill,2016-2017,31895,426
Foothill,2017-2018,31323,422
Foothill,2018-2019,30159,410
Foothill,2019-2020,30251,366
Fresno City,2014-2015,33119,1457
Fresno City,2015-2016,33685,1665
Fresno City,2016-2017,35253,1844
Fresno City,2017-2018,36423,1971
Fresno City,2018-2019,38141,2065
Fresno City,2019-2020,38316,2140
Fullerton,2014-2015,33354,1177
Fullerton,2015-2016,33224,1507
Fullerton,2016-2017,33569,1505
Fullerton,2017-2018,32622,1448
Fullerton,2018-2019,30922,1534
Fullerton,2019-2020,30617,1469
Gavilan,2014-2015,9624,345
Gavilan,2015-2016,11695,402
Gavilan,2016-2017,9156,445
Gavilan,2017-2018,9595,446
Gavilan,2018-2019,10111,429
Gavilan,2019-2020,9462,425
Glendale,2014-2015,27640,1952
Glendale,2015-2016,28163,1949
Glendale,2016-2017,27853,2095
Glendale,2017-2018,26637,2082
Glendale,2018-2019,25166,2024
Glendale,2019-2020,23940,2090
Golden West,2014-2015,17154,878
Golden West,2015-2016,17190,852
Golden West,2016-2017,17497,903
Golden West,2017-2018,17726,884
Golden West,2018-2019,17724,879
Golden West,2019-2020,19154,820
Grossmont,2014-2015,24739,810
Grossmont,2015-2016,24904,1028
Grossmont,2016-2017,25331,1083
Grossmont,2017-2018,25157,1053
Grossmont,2018-2019,24413,990
Grossmont,2019-2020,23180,996
Hartnell,2014-2015,16068,571
Hartnell,2015-2016,17121,605
Hartnell,2016-2017,17095,619
Hartnell,2017-2018,18210,631
Hartnell,2018-2019,18636,669
Hartnell,2019-2020,17954,755
Imperial,2014-2015,10026,952
Imperial,2015-2016,10273,1186
Imperial,2016-2017,10610,1276
Imperial,2017-2018,11145,1331
Imperial,2018-2019,10958,1261
Imperial,2019-2020,11285,1449
Irvine,2014-2015,20471,554
Irvine,2015-2016,20829,692
Irvine,2016-2017,23277,746
Irvine,2017-2018,22241,724
Irvine,2018-2019,22002,792
Irvine,2019-2020,21843,766
LA City,2014-2015,31450,2179
LA City,2015-2016,32370,2647
LA City,2016-2017,30821,2481
LA City,2017-2018,28280,2305
LA City,2018-2019,28625,2383
LA City,2019-2020,29630,2327
LA Harbor,2014-2015,13548,410
LA Harbor,2015-2016,13396,602
LA Harbor,2016-2017,13099,762
LA Harbor,2017-2018,12954,763
LA Harbor,2018-2019,12169,772
LA Harbor,2019-2020,12754,800
LA Mission,2014-2015,15157,788
LA Mission,2015-2016,15408,868
LA Mission,2016-2017,16266,741
LA Mission,2017-2018,16662,671
LA Mission,2018-2019,16500,701
LA Mission,2019-2020,17014,763
LA Pierce,2014-2015,31400,1115
LA Pierce,2015-2016,31185,1181
LA Pierce,2016-2017,31055,1273
LA Pierce,2017-2018,29144,1153
LA Pierce,2018-2019,28936,1145
LA Pierce,2019-2020,29213,1218
LA Swest,2014-2015,12309,672
LA Swest,2015-2016,12994,583
LA Swest,2016-2017,12844,615
LA Swest,2017-2018,12283,620
LA Swest,2018-2019,11950,576
LA Swest,2019-2020,12400,484
LA Trade,2014-2015,23164,2159
LA Trade,2015-2016,25091,2390
LA Trade,2016-2017,24835,2341
LA Trade,2017-2018,23530,1701
LA Trade,2018-2019,23046,1802
LA Trade,2019-2020,22747,1720
LA Valley,2014-2015,27909,1191
LA Valley,2015-2016,28034,1331
LA Valley,2016-2017,27653,1246
LA Valley,2017-2018,26880,1167
LA Valley,2018-2019,27073,1105
LA Valley,2019-2020,26883,1133
Lake Tahoe,2014-2015,5918,124
Lake Tahoe,2015-2016,6008,147
Lake Tahoe,2016-2017,5508,158
Lake Tahoe,2017-2018,6764,175
Lake Tahoe,2018-2019,7421,143
Lake Tahoe,2019-2020,6901,145
Laney,2014-2015,18764,553
Laney,2015-2016,19076,601
Laney,2016-2017,17802,816
Laney,2017-2018,17873,931
Laney,2018-2019,17682,893
Laney,2019-2020,17690,853
