College,Year,Student Count,EOPS Student Count
Columbia,2016-2017,4044,307
Columbia,2017-2018,4134,318
Columbia,2018-2019,4038,318
Columbia,2019-2020,3990,326
Columbia,2020-2021,2854,185
Columbia,2021-2022,3089,134
Columbia,2022-2023,3398,173
Columbia,2023-2024,3490,238
Compton,2014-2015,12264,768
Compton,2015-2016,11701,926
Compton,2016-2017,12438,827
Compton,2017-2018,12242,705
Compton,2018-2019,11518,736
Compton,2019-2020,8527,534
Compton,2020-2021,6426,339
Compton,2021-2022,5713,290
Compton,2022-2023,5621,369
Compton,2023-2024,6814,442
Contra Costa,2014-2015,10234,622
Contra Costa,2015-2016,10066,729
Contra Costa,2016-2017,10156,747
Contra Costa,2017-2018,10835,812
Contra Costa,2018-2019,11132,868
Contra Costa,2019-2020,10995,858
Contra Costa,2020-2021,9168,646
Contra Costa,2021-2022,8120,582
Contra Costa,2022-2023,8828,584
Contra Costa,2023-2024,9421,669
Copper Mountain,2014-2015,2597,140
Copper Mountain,2015-2016,2777,156
Copper Mountain,2016-2017,2723,187
Copper Mountain,2017-2018,2851,179
Copper Mountain,2018-2019,2714,144
Copper Mountain,2019-2020,2623,211
Copper Mountain,2020-2021,2340,138
Copper Mountain,2021-2022,2031,141
Copper Mountain,2022-2023,1935,154
Copper Mountain,2023-2024,2108,169
Cosumnes River,2014-2015,19790,616
Cosumnes River,2015-2016,19979,605
Cosumnes River,2016-2017,19637,654
Cosumnes River,2017-2018,19816,674
Cosumnes River,2018-2019,20298,845
Cosumnes River,2019-2020,20591,717
Cosumnes River,2020-2021,20417,660
Cosumnes River,2021-2022,18384,530
Cosumnes River,2022-2023,18467,575
Cosumnes River,2023-2024,20902,574
Crafton Hills,2014-2015,7917,422
Crafton Hills,2015-2016,8100,444
Crafton Hills,2016-2017,8143,448
Crafton Hills,2017-2018,8600,453
Crafton Hills,2018-2019,9094,459
Crafton Hills,2019-2020,9053,463
Crafton Hills,2020-2021,7990,373
Crafton Hills,2021-2022,6964,300
