College,Year,Credit Enrollment Count,Credit Retention Count,Credit Success Count,Degree Applicable Enrollment Count,Degree Applicable Retention Count,Degree Applicable Success Count,Transferable Enrollment Count,Transferable Retention Count,Transferable Success Count
Canada,2017-2018,28875,24469,20957,26889,22862,19692,25877,22060,19076
Canada,2018-2019,28122,23856,20276,26330,22452,19169,25492,21774,18682
Canada,2019-2020,12008,10121,8366,11170,9432,7832,10950,9250,7690
Canyons,2014-2015,116648,104146,89279,108628,97036,83793,92697,82221,70319
Canyons,2015-2016,116573,104474,90109,109952,98792,85834,94801,84701,73020
Canyons,2016-2017,117957,105063,90706,110986,99129,86275,97264,86289,74440
Canyons,2017-2018,118984,106373,92750,112831,101209,89055,97876,87020,75714
Canyons,2018-2019,118348,106125,93391,114627,103071,91181,97488,86504,75239
Canyons,2019-2020,50217,44644,37962,49145,43759,37246,44743,39571,33263
Cerritos,2014-2015,135822,113492,93619,120765,101497,84615,108514,91449,76170
Cerritos,2015-2016,137529,114405,94823,122926,102811,86050,111157,93186,78093
Cerritos,2016-2017,131369,109797,91587,118481,99599,83974,106692,90076,76165
Cerritos,2017-2018,128650,106786,88568,117292,98000,82154,105329,88296,74379
Cerritos,2018-2019,133144,112015,93998,124750,105795,89584,109086,92276,77880
Cerritos,2019-2020,62650,52093,42680,59063,49371,40595,52834,43994,35926
Cerro Coso,2014-2015,23155,19597,16355,20208,16832,13848,17829,14898,12291
Cerro Coso,2015-2016,23591,20225,16537,20588,17437,14034,18261,15458,12501
Cerro Coso,2016-2017,24327,21577,17602,22073,19398,15570,19818,17476,14187
Cerro Coso,2017-2018,27203,23952,20498,24807,21644,18350,22512,19686,16795
Cerro Coso,2018-2019,28638,25601,22061,26872,23868,20386,24560,21873,18822
Cerro Coso,2019-2020,11731,10259,8568,11658,10197,8521,11122,9758,8199
Chabot Hayward,2014-2015,79604,66872,55534,72418,60617,50526,68368,57455,48191
Chabot Hayward,2015-2016,80819,68101,56230,73941,62087,51491,69463,58467,48736
Chabot Hayward,2016-2017,80594,68418,56918,74198,62771,52481,69561,58952,49561
Chabot Hayward,2017-2018,80820,68902,57755,74316,63289,53354,70122,59805,50625
Chabot Hayward,2018-2019,81562,70207,59736,75953,65289,55860,72240,62179,53310
Chabot Hayward,2019-2020,35831,30202,24908,34024,28584,23645,32844,27571,22781
Chaffey,2014-2015,114444,104985,82777,108988,99997,79196,90683,83315,66846
Chaffey,2015-2016,125758,114679,89271,120473,109791,85774,101581,92572,73211
Chaffey,2016-2017,129975,118274,92019,124957,113639,88706,105921,96339,76112
Chaffey,2017-2018,131929,119924,93484,127808,116159,90861,109225,99335,78547
Chaffey,2018-2019,132903,120430,94099,123341,112481,89453,113590,103465,82065
Chaffey,2019-2020,61179,55434,41916,58359,53074,40494,54725,49692,37569
Citrus,2014-2015,81398,73080,57481,73062,65733,52480,65001,58490,46789
Citrus,2015-2016,82782,74349,58109,74976,67462,53486,67458,60638,48098
Citrus,2016-2017,83571,74998,58920,76639,68838,54595,69184,62090,49227
Citrus,2017-2018,82043,73031,58281,75904,67696,54563,68552,61121,49248
Citrus,2018-2019,83126,74317,59149,80081,71569,57315,71274,63772,51150
Citrus,2019-2020,37106,33187,26303,35538,31761,25304,33304,29792,23608
Clovis,2014-2015,0,0,0,0,0,0,0,0,0
Clovis,2015-2016,33592,30926,23897,32461,29875,23173,29994,27638,21579
Clovis,2016-2017,36073,33472,26713,34873,32393,25941,32422,30189,24473
Clovis,2017-2018,38922,36128,28971,37627,34970,28137,35263,32881,26747
Clovis,2018-2019,42028,39057,31500,40427,37630,30598,38927,36311,29747
Clovis,2019-2020,21138,19562,15573,20432,18931,15160,20130,18663,14978
Coastline,2014-2015,58524,48098,38111,55132,45177,35700,53046,43589,34552
Coastline,2015-2016,58322,48420,38405,55099,45548,35992,52909,43846,34715
Coastline,2016-2017,56004,46965,37907,53220,44574,35921,51146,43011,34739
Coastline,2017-2018,56551,48340,40429,53893,46048,38520,51856,44451,37264
Coastline,2018-2019,50998,43417,36410,49151,41786,35026,47683,40648,34124
Coastline,2019-2020,21098,17950,14711,20442,17394,14205,19927,16983,13907
Columbia,2014-2015,14899,12837,11097,14406,12398,10705,10722,9117,7898
Columbia,2015-2016,14740,12589,10886,14207,12108,10479,10925,9204,7966
Columbia,2016-2017,14896,12877,11239,14579,12604,11042,10862,9285,8133
Columbia,2017-2018,14722,12751,11268,14464,12538,11100,11226,9644,8558
Columbia,2018-2019,14985,12963,11412,14862,12876,11359,12463,10795,9518
Columbia,2019-2020,7073,6094,5188,7056,6083,5183,5986,5160,4414
Compton,2014-2015,40223,32449,26078,36047,29237,23726,30843,25186,20733
Compton,2015-2016,38606,31403,25962,34989,28641,23915,30442,25132,21321
Compton,2016-2017,36941,30318,24868,33800,27904,23098,29596,24710,20806
Compton,2017-2018,34415,28363,23303,31916,26475,21828,28105,23580,19624
Compton,2018-2019,31212,25887,21146,29683,24758,20326,27025,22848,18929
Compton,2019-2020,12934,10285,8344,12431,9969,8134,11611,9487,7812
Contra Costa,2014-2015,39481,34367,28825,33009,28703,24717,28279,24523,21090
Contra Costa,2015-2016,38375,33091,27730,32498,27947,23901,28686,24610,21045
Contra Costa,2016-2017,37678,32373,26933,32215,27600,23386,28530,24367,20596
Contra Costa,2017-2018,37056,31738,26726,32810,28123,24005,29527,25229,21542
Contra Costa,2018-2019,38300,32743,27467,34942,29971,25333,31726,27180,23022
Contra Costa,2019-2020,16995,14430,11804,16196,13736,11245,14508,12302,10116
Copper Mountain,2014-2015,9940,8706,7021,8013,7023,5810,6872,6020,4994
Copper Mountain,2015-2016,10198,9062,7538,8368,7431,6290,7218,6442,5494
Copper Mountain,2016-2017,9806,8542,7374,8344,7308,6364,7296,6397,5590
Copper Mountain,2017-2018,10225,9004,7753,8807,7792,6792,7682,6817,5984
Copper Mountain,2018-2019,9742,8686,7455,8906,7956,6910,7864,7044,6136
Copper Mountain,2019-2020,4213,3627,3034,4072,3519,2960,3644,3168,2679
Cosumnes River,2014-2015,78417,64103,50666,73291,59716,47354,62554,51133,40774
Cosumnes River,2015-2016,78025,64339,51691,72819,59928,48435,61808,50915,41443
Cosumnes River,2016-2017,76280,63809,51835,71254,59485,48598,60335,50458,41784
Cosumnes River,2017-2018,77270,65067,53546,72409,60879,50488,61728,52322,43893
Cosumnes River,2018-2019,78243,66661,54974,73696,62775,52096,64013,54985,46114
Cosumnes River,2019-2020,37323,31299,25803,35457,29770,24627,31523,26555,22049
Crafton Hills,2014-2015,35616,32542,26353,32981,30086,24498,27119,24635,19968
Crafton Hills,2015-2016,35618,32286,25959,32847,29761,24010,27734,25127,20309
Crafton Hills,2016-2017,35141,31925,25594,32334,29354,23675,27243,24672,19880
Crafton Hills,2017-2018,35903,32337,25874,33572,30247,24379,28721,25930,20907
Crafton Hills,2018-2019,37628,34262,27972,35641,32497,26706,30790,28041,22997
Crafton Hills,2019-2020,18050,16409,12908,17081,15514,12231,15148,13723,10693
Cuesta,2014-2015,56367,49152,41317,54144,47308,39990,47680,41605,35302
Cuesta,2015-2016,56826,49881,42412,54972,48303,41280,46872,40921,35010
Cuesta,2016-2017,55650,48540,41467,53882,47031,40255,45577,39571,33923
Cuesta,2017-2018,56108,48974,42497,54603,47668,41470,46905,40703,35507
Cuesta,2018-2019,56898,50043,43054,55886,49121,42320,49130,43036,37103
Cuesta,2019-2020,27848,24407,20845,27746,24318,20786,24705,21599,18497
Cuyamaca,2014-2015,42523,36812,31106,37422,32298,27350,35446,30571,25933
Cuyamaca,2015-2016,44524,39091,33332,39472,34545,29428,37672,32988,28160
Cuyamaca,2016-2017,46384,40863,34787,40988,36031,30672,39343,34594,29509
Cuyamaca,2017-2018,45589,40317,34981,40043,35456,30843,38734,34332,29911
Cuyamaca,2018-2019,44338,39213,33855,40062,35402,30610,38968,34419,29735
Cuyamaca,2019-2020,19830,17679,15130,18155,16181,13898,17688,15752,13522
Cypress,2014-2015,92500,78336,65774,85447,72352,61082,79954,67750,57522
Cypress,2015-2016,92725,78717,66231,85390,72589,61614,80331,68334,58265
Cypress,2016-2017,91021,77641,65588,83824,71562,61002,79362,67846,58173
Cypress,2017-2018,89926,76813,65523,83280,71345,61421,79147,67858,58679
Cypress,2018-2019,90339,77331,66228,85457,73519,63437,81648,70441,60987
Cypress,2019-2020,43890,37160,31782,42391,36019,30865,40873,34821,29924
Deanza,2014-2015,135658,121044,102572,119264,105965,89962,115725,102845,87585
Deanza,2015-2016,130327,116971,99972,117086,104788,89882,113965,102051,87820
Deanza,2016-2017,122616,110035,94485,110303,98743,85086,107204,96056,82991
Deanza,2017-2018,114239,102296,88061,103312,92314,79811,100588,89918,77936
Deanza,2018-2019,108513,97453,84166,102129,91544,79007,100225,89943,77738
Deanza,2019-2020,48344,43816,37033,45559,41199,34793,44936,40661,34363
Desert,2014-2015,60113,51099,42121,53698,45770,38197,49641,42525,35604
Desert,2015-2016,61504,51904,42656,54745,46396,38604,51008,43431,36364
Desert,2016-2017,62228,53236,44178,55663,47838,40288,51799,44671,37728
Desert,2017-2018,65481,55555,45741,58716,50046,41892,54535,46588,39036
Desert,2018-2019,66123,56160,45989,61525,52620,43570,56786,48782,40429
Desert,2019-2020,33852,29208,23712,32951,28470,23189,30634,26572,21672
Diablo Valley,2014-2015,133377,114598,99369,127055,109087,94750,117299,100785,87943
Diablo Valley,2015-2016,132441,113823,98836,126425,108668,94475,117246,100948,88063
Diablo Valley,2016-2017,130059,112550,98307,124183,107401,93949,115933,100477,88262
Diablo Valley,2017-2018,128817,111668,98122,123397,106911,94149,115704,100389,88691
Diablo Valley,2018-2019,128663,112124,99223,123555,107508,95253,115662,100546,89105
Diablo Valley,2019-2020,57769,50280,43682,55692,48531,42178,53512,46522,40344
East LA,2014-2015,178285,154614,127824,169485,147316,122724,125794,107153,86863
East LA,2015-2016,178631,153430,127229,170699,147027,122948,128184,108438,88535
East LA,2016-2017,182935,160683,134445,175692,154722,130483,129899,112344,92365
East LA,2017-2018,168896,148662,122397,161042,142153,118165,125467,109576,89531
East LA,2018-2019,170434,150611,124065,166622,147544,122191,129708,113082,90893
East LA,2019-2020,77923,68089,54831,76928,67210,54197,61205,52730,40901
El Camino,2014-2015,141002,116193,96910,133964,110472,92607,118350,98177,83447
El Camino,2015-2016,137822,114749,95922,130988,109330,91881,116126,97588,83330
El Camino,2016-2017,133826,111369,93199,126759,105625,88993,111994,94048,80437
El Camino,2017-2018,134649,112341,94904,128228,107216,91127,114777,96661,83406
El Camino,2018-2019,134809,113694,95809,129834,109602,92778,120272,102177,87443
El Camino,2019-2020,65341,54148,44452,60925,50989,42125,58993,49554,41088
Evergreen Valley,2014-2015,51828,45427,37428,40890,35768,29821,38490,33618,28104
Evergreen Valley,2015-2016,51802,44906,37591,41274,35902,30480,38794,33717,28676
Evergreen Valley,2016-2017,52095,44878,37639,41942,36232,30811,39402,34023,29049
Evergreen Valley,2017-2018,54058,46709,39336,43861,38078,32367,41265,35819,30512
Evergreen Valley,2018-2019,56266,48721,40994,47120,41032,34788,44791,38966,33063
Evergreen Valley,2019-2020,24742,20967,17322,20878,17901,14828,20098,17247,14280
Feather River,2014-2015,14175,13392,11200,12625,11898,10048,9648,9094,7605
Feather River,2015-2016,13276,12413,10430,11895,11101,9480,8722,8192,6904
Feather River,2016-2017,12368,11837,10257,11486,10995,9651,8792,8427,7286
Feather River,2017-2018,14017,13413,11623,13202,12651,11117,10853,10385,9080
Feather River,2018-2019,14595,13861,12208,13942,13248,11748,11825,11236,9881
Feather River,2019-2020,5894,5535,4895,5877,5518,4878,4567,4266,3737
Folsom Lake,2014-2015,41040,34864,29969,38224,32408,27991,33729,28669,25025
Folsom Lake,2015-2016,44888,37835,32619,42006,35307,30530,37258,31528,27548
Folsom Lake,2016-2017,44951,38562,33218,42073,35994,31205,37577,32259,28229
Folsom Lake,2017-2018,43774,37651,32801,40838,35050,30663,36700,31623,27932
Folsom Lake,2018-2019,46964,40536,35345,44329,38273,33517,41370,35967,31779
Folsom Lake,2019-2020,23066,19744,17228,21443,18384,16076,20800,17917,15696
Foothill,2014-2015,82204,74032,64532,78402,70467,61537,71449,63881,55501
Foothill,2015-2016,82525,74603,65458,78185,70523,62108,71134,63709,55719
Foothill,2016-2017,82292,74920,66543,78576,71467,63736,70916,63997,56649
Foothill,2017-2018,78375,71527,63581,75659,69020,61581,68468,62018,54926
Foothill,2018-2019,76615,69744,61473,74977,68195,60128,67953,61318,53571
Foothill,2019-2020,31823,28853,25062,30751,27859,24235,26196,23369,19909
Fresno City,2014-2015,134940,122306,93962,119819,108094,82565,107698,97103,74639
Fresno City,2015-2016,130176,118240,90230,117343,106339,80771,105850,95920,73621
Fresno City,2016-2017,135806,124397,97644,119518,109037,84639,108070,98810,77498
Fresno City,2017-2018,136880,125237,98161,123255,112445,87454,112515,102870,80926
Fresno City,2018-2019,141380,129212,103058,129585,118378,93571,120998,110813,88243
Fresno City,2019-2020,67344,61615,47339,61309,55988,42820,59531,54357,41499
Fullerton,2014-2015,151245,124644,100625,137745,114029,92819,130077,107699,87660
Fullerton,2015-2016,150276,124554,101327,137291,114416,93954,129471,108227,89202
Fullerton,2016-2017,146835,122330,100094,135428,113597,93704,127842,107697,89167
Fullerton,2017-2018,140310,116312,96496,131019,109355,91263,123827,103861,86985
Fullerton,2018-2019,131421,110955,92470,127609,107989,90246,121162,103102,86450
Fullerton,2019-2020,63175,52923,43541,62671,52494,43174,60140,50566,41567
Gavilan,2014-2015,33232,28640,24215,27253,23393,19777,26092,22406,18997
Gavilan,2015-2016,35840,31087,26266,29424,25451,21515,27785,24060,20373
Gavilan,2016-2017,33701,29249,24205,29160,25362,21126,27526,24014,20028
Gavilan,2017-2018,32329,28379,23767,28028,24612,20835,26720,23451,19845
Gavilan,2018-2019,32469,28424,24118,29131,25430,21672,26912,23411,19859
Gavilan,2019-2020,14446,12691,10322,13206,11631,9480,12199,10698,8655
Glendale,2014-2015,93698,80706,66720,84860,73303,61357,73704,63643,53416
Glendale,2015-2016,93216,79630,65974,84085,72059,60316,73996,63317,53230
Glendale,2016-2017,90156,77430,65552,81744,70489,60301,72243,62390,53539
Glendale,2017-2018,85705,73755,62720,77243,66641,57071,68880,59330,50978
Glendale,2018-2019,82511,71495,61454,76185,66178,57092,68862,59790,51662
Glendale,2019-2020,37875,32362,27357,35593,30468,25799,31802,27259,23218
Golden West,2014-2015,73214,62874,49819,67850,58476,46805,64729,55840,44747
Golden West,2015-2016,71870,61779,49847,66912,57628,47101,63647,54899,44896
Golden West,2016-2017,68823,59603,49163,64545,55874,46587,61421,53151,44457
Golden West,2017-2018,66812,57885,48120,63260,54829,45963,60146,52079,43675
Golden West,2018-2019,66803,57677,48202,64085,55331,46513,61238,52841,44492
Golden West,2019-2020,31314,27291,22260,30109,26215,21438,29253,25424,20741
Grossmont,2014-2015,110314,92553,76765,101643,84946,70392,94921,79375,66107
Grossmont,2015-2016,109460,92688,76581,100634,84999,70349,93839,79292,66074
Grossmont,2016-2017,109384,92711,76102,101622,86070,71031,95526,80993,67217
Grossmont,2017-2018,106408,91214,75957,98942,84840,70967,93763,80548,67807
Grossmont,2018-2019,103587,88453,73754,98240,83820,69968,94404,80848,67889
Grossmont,2019-2020,47313,40900,33569,44782,38668,31763,44112,38178,31443
Hartnell,2014-2015,60391,51505,44284,56342,48025,41408,48073,40799,35406
Hartnell,2015-2016,62055,53368,46395,57789,49720,43378,47622,40876,35822
Hartnell,2016-2017,61490,53498,46851,57600,50056,43815,47063,40764,35727
Hartnell,2017-2018,61386,53662,47465,57964,50680,44905,43872,37644,32953
Hartnell,2018-2019,62762,54792,47860,60329,52691,46009,47394,40714,35009
Hartnell,2019-2020,30417,26910,22955,29168,25808,21978,23311,20176,16672
Imperial,2014-2015,50304,42953,35065,40859,35018,29125,38233,32812,27313
Imperial,2015-2016,49771,43241,34879,40927,35675,29359,38283,33411,27629
Imperial,2016-2017,50568,45074,36982,42153,37675,31506,39511,35399,29728
Imperial,2017-2018,55064,49472,41405,46899,42280,35898,44111,39807,33934
Imperial,2018-2019,55670,49459,40838,48283,43085,35937,46028,41148,34518
Imperial,2019-2020,27146,23840,19384,23974,21141,17136,23012,20338,16518
Irvine,2014-2015,86863,76558,61719,77275,67854,55116,71011,62322,50775
Irvine,2015-2016,88108,78187,63211,79611,70467,57576,73832,65361,53648
Irvine,2016-2017,89078,79207,64721,81772,72643,59727,75951,67485,55704
Irvine,2017-2018,83534,74660,61167,77306,69097,56974,72524,64866,53751
Irvine,2018-2019,81800,73775,61600,77043,69441,58203,73315,66092,55489
Irvine,2019-2020,36011,32543,26572,33483,30335,24895,32581,29522,24224
LA City,2014-2015,99290,83724,65482,88090,73798,58580,75259,63575,51251
LA City,2015-2016,94651,79280,64229,84395,70104,57209,72272,60466,50163
LA City,2016-2017,87020,73030,59757,78277,65092,53508,67781,56801,47381
LA City,2017-2018,74158,62825,51535,69708,58899,48696,61402,52162,43930
LA City,2018-2019,75756,64124,52257,72717,61519,50366,65265,55498,45990
LA City,2019-2020,35115,29063,23426,34068,28207,22784,32192,26633,21585
LA Harbor,2014-2015,58245,49257,38888,55173,46682,37160,50593,42977,34493
LA Harbor,2015-2016,55832,46722,37755,52990,44429,36195,48369,40853,33549
LA Harbor,2016-2017,51139,43493,34835,48323,41138,33304,43791,37524,30703
LA Harbor,2017-2018,46921,40713,32414,44676,38894,31181,41379,36256,29437
LA Harbor,2018-2019,45186,39280,31370,42987,37460,30126,40052,35042,28443
LA Harbor,2019-2020,22169,19181,14833,21409,18543,14395,20585,17882,13960
LA ITV,2014-2015,2983,1830,1303,2983,1830,1303,2692,1622,1169
LA ITV,2015-2016,2777,1896,1409,2777,1896,1409,2353,1609,1217
LA ITV,2016-2017,2883,1957,1458,2883,1957,1458,1774,1282,1065
LA ITV,2017-2018,1597,1231,909,1597,1231,909,841,717,624
LA ITV,2018-2019,1223,915,653,1223,915,653,653,519,428
LA ITV,2019-2020,0,0,0,0,0,0,0,0,0
LA Mission,2014-2015,47281,40162,30578,43762,37192,28718,38640,33099,25840
LA Mission,2015-2016,49616,41820,33061,46374,39181,31266,40152,34082,27548
LA Mission,2016-2017,48207,40928,32428,45674,38823,30945,39143,33559,27090
LA Mission,2017-2018,46145,39228,31178,44435,37785,30178,38280,32672,26446
LA Mission,2018-2019,44776,38584,30533,44002,37952,30102,38077,33080,26477
LA Mission,2019-2020,22255,19001,14640,22014,18778,14454,20536,17574,13489
LA Pierce,2014-2015,117791,101793,81629,111623,96396,77306,100295,86907,69917
LA Pierce,2015-2016,113714,96863,79528,108691,92473,76089,97820,83516,69203
LA Pierce,2016-2017,110422,94439,77697,105933,90546,74712,95243,81732,68080
LA Pierce,2017-2018,101552,87931,72357,98253,85019,70098,88819,77236,64464
LA Pierce,2018-2019,101751,88181,73016,99189,85935,71204,91178,79509,66601
LA Pierce,2019-2020,47075,40579,32903,46593,40143,32527,44730,38631,31407
LA Swest,2014-2015,32537,26828,19449,30388,25146,18389,26841,22449,16593
LA Swest,2015-2016,35586,29138,21725,32972,27110,20485,29646,24571,18692
LA Swest,2016-2017,33417,27662,20792,30832,25734,19592,27926,23466,18061
LA Swest,2017-2018,28434,23953,18362,26693,22565,17484,24398,20807,16256
LA Swest,2018-2019,28853,24403,18872,27014,22979,17898,25089,21534,16872
LA Swest,2019-2020,14015,11787,8535,13637,11447,8293,13122,11102,8065
LA Trade,2014-2015,74662,63846,51124,65874,56838,46363,49821,42573,34288
LA Trade,2015-2016,74805,63693,52229,65947,56608,47402,50619,42876,35390
LA Trade,2016-2017,72016,62030,50741,63819,55483,46412,50215,43323,35859
LA Trade,2017-2018,61255,54096,44703,57609,51130,42713,45350,39776,32798
LA Trade,2018-2019,64719,56619,47007,59731,52802,44336,42226,36898,30380
LA Trade,2019-2020,29318,25586,20967,28746,25101,20547,19500,16817,13483
LA Valley,2014-2015,97912,83469,67046,89920,76482,61591,79789,68382,55806
LA Valley,2015-2016,94624,79564,64731,87697,73580,60071,78061,65841,54442
LA Valley,2016-2017,93134,80010,65207,86933,74472,60857,78066,67226,55686
LA Valley,2017-2018,86585,75172,61241,82691,71691,58732,74819,65168,54126
LA Valley,2018-2019,84105,73129,59866,81171,70560,58044,73846,64514,53612
LA Valley,2019-2020,39028,34083,27231,38089,33203,26469,35990,31341,25041
Lake Tahoe,2014-2015,13962,12802,10847,13246,12153,10408,9642,8734,7370
Lake Tahoe,2015-2016,12511,11576,9860,11964,11054,9507,9166,8371,7181
Lake Tahoe,2016-2017,11776,11050,9454,11528,10812,9305,8786,8169,6946
Lake Tahoe,2017-2018,13664,12897,11265,12934,12182,10624,9979,9331,8062
Lake Tahoe,2018-2019,14235,13363,11734,13225,12367,10789,10603,9866,8556
Lake Tahoe,2019-2020,4873,4496,3626,4759,4390,3549,4359,4007,3243
Laney,2014-2015,59179,48018,40003,54434,44102,36839,41391,33335,27627
Laney,2015-2016,59791,49642,41449,55054,45723,38357,41971,34771,29059
Laney,2016-2017,55062,44435,38269,50548,40682,35189,38756,31089,26853
Laney,2017-2018,53272,43738,37709,49214,40224,34765,37829,30863,26546
Laney,2018-2019,50770,42777,37153,45483,38158,33121,37398,31356,27118
Laney,2019-2020,22331,18399,15851,20290,16581,14222,16574,13557,11539
Las Positas,2014-2015,51738,43646,36714,47603,40203,34131,44782,37989,32363
Las Positas,2015-2016,53324,45186,38263,49274,41829,35735,46565,39721,34095
Las Positas,2016-2017,54840,46689,39522,51284,43789,37372,48949,42026,35990
Las Positas,2017-2018,54494,46504,39687,51224,43862,37684,49269,42315,36513
Las Positas,2018-2019,53695,46621,40075,51109,44501,38496,49699,43382,37672
Las Positas,2019-2020,24525,20607,17430,23768,20021,16963,23243,19642,16706
Lassen,2014-2015,15363,13349,10924,13264,11600,9735,8688,7447,5918
Lassen,2015-2016,14778,13146,10956,12871,11540,9796,8735,7646,6277
Lassen,2016-2017,14416,12751,10638,12885,11468,9726,8526,7427,6077
Lassen,2017-2018,15095,13369,11292,13471,11997,10277,8894,7801,6392
Lassen,2018-2019,14546,12864,10942,13392,11910,10233,9940,8692,7223
Lassen,2019-2020,5887,5359,4674,5524,5052,4403,4322,3889,3330
Long Beach,2014-2015,151858,128198,97276,141653,119399,91003,116362,98325,75697
Long Beach,2015-2016,150957,126379,97390,141482,118251,91553,116464,97697,76365
Long Beach,2016-2017,147021,122626,96086,138824,115753,91009,114485,95982,76156
Long Beach,2017-2018,147702,124022,97263,141665,118900,93508,117141,98967,78718
Long Beach,2018-2019,143034,119559,95900,141046,117864,94626,119411,100366,81246
Long Beach,2019-2020,70383,58963,45849,68365,57295,44613,59015,49748,38931
Los Medanos,2014-2015,51465,44092,37337,48415,41576,35482,43327,37442,32242
Los Medanos,2015-2016,52092,44402,37522,49600,42364,35886,44745,38497,32832
Los Medanos,2016-2017,51541,44534,37987,50101,43251,36917,45632,39682,34047
Los Medanos,2017-2018,53688,46190,39384,51379,44255,37773,48182,41678,35797
Los Medanos,2018-2019,55433,47939,40936,53300,46144,39407,50200,43609,37472
Los Medanos,2019-2020,26183,22731,18848,25006,21687,18012,23635,20600,17170
