College,Year,Credit Enrollment Count,Credit Retention Count,Credit Success Count,Degree Applicable Enrollment Count,Degree Applicable Retention Count,Degree Applicable Success Count,Transferable Enrollment Count,Transferable Retention Count,Transferable Success Count
Alameda,2014-2015,26522,21606,17441,24300,19719,15993,20518,16613,13380
Alameda,2015-2016,27590,22978,18759,25283,20983,17239,21165,17450,14165
Alameda,2016-2017,25276,20951,17718,23261,19230,16298,20058,16445,13892
Alameda,2017-2018,25690,21231,18077,23978,19790,16896,20745,17115,14580
Alameda,2018-2019,25383,21496,18396,23452,19772,16929,21275,17907,15324
Alameda,2019-2020,10797,8902,7580,10228,8375,7107,9074,7414,6268
Allan Hancock,2014-2015,66345,57729,47841,61693,53727,44772,52400,45246,37211
Allan Hancock,2015-2016,64407,57061,47217,60415,53566,44606,51429,45204,37169
Allan Hancock,2016-2017,64982,57608,48225,61223,54352,45742,52158,45982,38435
Allan Hancock,2017-2018,62190,54859,46026,59138,52229,43974,50502,44275,36955
Allan Hancock,2018-2019,61695,54423,45560,59690,52687,44197,51876,45565,37864
Allan Hancock,2019-2020,29959,26488,21783,29419,26013,21400,24753,21720,17472
American River,2014-2015,165336,138946,116817,142183,118505,99094,121044,100502,84061
American River,2015-2016,171327,146864,125060,145867,124167,105396,117694,99123,83413
American River,2016-2017,164716,142164,121996,141291,121342,104025,111884,94512,79901
American River,2017-2018,162158,140851,122872,137489,118663,103495,105353,89092,76553
American River,2018-2019,165410,145756,126597,142477,124732,108159,109251,93676,79767
American River,2019-2020,73501,63250,54811,63780,54522,47131,50456,42301,35773
Antelope Valley,2014-2015,86224,74037,59440,74286,63909,52443,67591,58081,47620
Antelope Valley,2015-2016,84455,73235,58758,73848,64055,52375,67095,58231,47557
Antelope Valley,2016-2017,83903,73310,59681,73384,64015,52825,66270,57689,47588
Antelope Valley,2017-2018,85667,74688,61643,74135,64302,53744,66383,57446,47921
Antelope Valley,2018-2019,83814,73057,60174,77202,67159,55866,68459,59484,49476
Antelope Valley,2019-2020,38344,33324,26960,37881,32927,26690,34137,29664,24049
Bakersfield,2014-2015,115159,99934,79868,93616,80388,63985,84333,72242,57649
Bakersfield,2015-2016,125295,109642,87303,102559,89230,70900,92238,80127,63826
Bakersfield,2016-2017,132947,118492,94176,111377,98981,78451,101295,90000,71387
Bakersfield,2017-2018,140623,126373,102921,119050,106987,87164,104295,93963,76543
Bakersfield,2018-2019,151319,134899,108948,137061,122005,98046,109046,97396,78366
Bakersfield,2019-2020,69358,60899,46868,67792,59447,45598,56219,49302,37477
Barstow,2014-2015,22214,19625,15704,20526,18160,14601,0,0,0
Barstow,2015-2016,21525,19438,15826,19836,17917,14600,9442,8505,6924
Barstow,2016-2017,21469,19384,15672,19820,17911,14497,16887,15230,12311
Barstow,2017-2018,21045,19004,15594,19275,17427,14377,16422,14833,12231
Barstow,2018-2019,20612,18724,15487,19742,17957,14889,8454,7669,6385
Barstow,2019-2020,9161,8213,6457,9122,8177,6431,1815,1617,1120
Berkeley City,2014-2015,34950,27155,22298,33117,25863,21390,30426,23744,19657
Berkeley City,2015-2016,36418,29058,23534,34729,27845,22711,31921,25557,20958
Berkeley City,2016-2017,33876,26437,21865,32431,25411,21086,30162,23613,19646
Berkeley City,2017-2018,31746,24817,20691,30414,23841,19956,28472,22302,18720
Berkeley City,2018-2019,29478,23729,20287,28283,22797,19503,27080,21884,18792
Berkeley City,2019-2020,12272,9748,8190,12151,9637,8083,11462,9136,7676
Butte,2014-2015,79691,71803,56952,77482,69884,55749,68298,61678,49544
Butte,2015-2016,74913,67930,54122,73103,66330,53048,64496,58610,47097
Butte,2016-2017,71996,65121,53503,70376,63698,52518,61984,56274,46735
Butte,2017-2018,69446,62551,51656,68530,61769,51115,60520,54682,45444
Butte,2018-2019,65537,59415,51073,65038,58970,50723,58663,53328,45992
Butte,2019-2020,32397,29280,23913,32331,29214,23861,30413,27509,22400
Cabrillo,2014-2015,85090,74695,62371,81120,71101,59443,63481,55204,46030
Cabrillo,2015-2016,83199,73386,61658,79518,70080,58913,62804,55027,46020
Cabrillo,2016-2017,79573,70434,59285,76798,67914,57294,62107,54784,46194
Cabrillo,2017-2018,76400,67111,56767,73962,64965,55039,60077,52679,44539
Cabrillo,2018-2019,73629,64799,54691,71714,63030,53254,61109,53630,45313
Cabrillo,2019-2020,33985,29549,24152,32777,28539,23362,29529,25726,21063
Canada,2014-2015,33026,27705,23303,29580,24934,21234,27595,23313,19908
Canada,2015-2016,32666,27488,23214,29792,25162,21375,28177,23882,20407
Canada,2016-2017,31805,26976,22987,29211,24826,21287,27997,23854,20547
