College,Year,Student Count,EOPS Student Count
Moreno Valley,2020-2021,12982,587
Moreno Valley,2021-2022,10445,472
Moreno Valley,2022-2023,12992,370
Moreno Valley,2023-2024,15010,333
Mt San Antonio,2020-2021,41287,1316
Mt San Antonio,2021-2022,41490,1256
Mt San Antonio,2022-2023,59677,1384
Mt San Antonio,2023-2024,58813,1451
Mt. San Jacinto,2020-2021,18446,383
Mt. San Jacinto,2021-2022,18557,319
Mt. San Jacinto,2022-2023,21688,395
Mt. San Jacinto,2023-2024,24090,445
Napa,2020-2021,6288,258
Napa,2021-2022,5631,233
Napa,2022-2023,5596,196
Napa,2023-2024,5662,201
Norco,2020-2021,14068,346
Norco,2021-2022,11676,308
Norco,2022-2023,13174,344
Norco,2023-2024,14836,431
North Orange Adult,2020-2021,761,0
North Orange Adult,2021-2022,6535,0
North Orange Adult,2022-2023,10670,0
North Orange Adult,2023-2024,11778,0
Ohlone,2020-2021,17070,287
Ohlone,2021-2022,16009,203
Ohlone,2022-2023,14954,130
Ohlone,2023-2024,14232,174
Orange Coast,2020-2021,23286,1164
Orange Coast,2021-2022,21505,975
Orange Coast,2022-2023,21365,1026
Orange Coast,2023-2024,21895,1100
Oxnard,2020-2021,9175,653
Oxnard,2021-2022,8653,627
Oxnard,2022-2023,9034,656
Oxnard,2023-2024,9931,799
Palo Verde,2020-2021,4119,619
Palo Verde,2021-2022,5036,597
Palo Verde,2022-2023,5321,624
Palo Verde,2023-2024,4847,646
Palomar,2020-2021,26435,602
Palomar,2021-2022,22823,569
Palomar,2022-2023,25125,602
Palomar,2023-2024,26741,598
Pasadena,2020-2021,32347,877
Pasadena,2021-2022,26857,884
Pasadena,2022-2023,29638,818
Pasadena,2023-2024,34925,1141
Porterville,2020-2021,4630,558
Porterville,2021-2022,3983,608
Porterville,2022-2023,4526,679
Porterville,2023-2024,5199,773
Redwoods,2020-2021,4667,483
Redwoods,2021-2022,4683,529
Redwoods,2022-2023,5362,506
Redwoods,2023-2024,5599,588
Reedley College,2020-2021,12041,681
Reedley College,2021-2022,9627,542
Reedley College,2022-2023,11593,664
Reedley College,2023-2024,13377,897
Rio Hondo,2020-2021,22819,1150
Rio Hondo,2021-2022,21044,996
Rio Hondo,2022-2023,23922,969
Rio Hondo,2023-2024,29374,1027
Riverside,2020-2021,26311,1254
Riverside,2021-2022,22375,1151
Riverside,2022-2023,24661,1205
Riverside,2023-2024,26047,1308
Sacramento City,2020-2021,26757,975
Sacramento City,2021-2022,23802,870
Sacramento City,2022-2023,23718,802
Sacramento City,2023-2024,26158,1039
Saddleback,2020-2021,31970,490
Saddleback,2021-2022,31643,427
Saddleback,2022-2023,32587,504
Saddleback,2023-2024,36347,474
San Bernardino,2020-2021,14243,589
San Bernardino,2021-2022,13306,395
San Bernardino,2022-2023,14251,285
San Bernardino,2023-2024,17355,425
San Diego Adult,2020-2021,16725,0
San Diego Adult,2021-2022,17519,0
San Diego Adult,2022-2023,21433,0
San Diego Adult,2023-2024,23331,0
San Diego City,2020-2021,19156,1022
San Diego City,2021-2022,16668,896
San Diego City,2022-2023,16467,1019
San Diego City,2023-2024,18069,877
San Diego Mesa,2020-2021,26441,762
San Diego Mesa,2021-2022,23596,829
San Diego Mesa,2022-2023,25092,743
San Diego Mesa,2023-2024,26803,695
San Diego Miramar,2020-2021,19063,494
San Diego Miramar,2021-2022,18255,471
San Diego Miramar,2022-2023,18711,453
San Diego Miramar,2023-2024,20083,527
San Francisco,2020-2021,29260,1184
San Francisco,2021-2022,27331,1193
San Francisco,2022-2023,29224,1119
San Francisco,2023-2024,33548,1175
San Joaquin Delta,2020-2021,24321,1178
San Joaquin Delta,2021-2022,23229,869
San Joaquin Delta,2022-2023,22773,739
San Joaquin Delta,2023-2024,25984,868
San Jose City,2020-2021,11760,712
San Jose City,2021-2022,10398,665
San Jose City,2022-2023,10150,775
San Jose City,2023-2024,12151,784
San Mateo,2020-2021,12732,356
San Mateo,2021-2022,11520,326
San Mateo,2022-2023,11505,390
San Mateo,2023-2024,13359,372
Santa Ana,2020-2021,39679,909
Santa Ana,2021-2022,40388,685
Santa Ana,2022-2023,44576,862
Santa Ana,2023-2024,49514,1209
Santa Barbara,2020-2021,19630,844
Santa Barbara,2021-2022,19985,736
Santa Barbara,2022-2023,22167,931
Santa Barbara,2023-2024,23850,1019
Santa Monica,2020-2021,37834,571
Santa Monica,2021-2022,33086,609
Santa Monica,2022-2023,32187,637
Santa Monica,2023-2024,33553,580
Santa Rosa,2020-2021,27948,723
Santa Rosa,2021-2022,25622,660
Santa Rosa,2022-2023,27036,717
Santa Rosa,2023-2024,28685,719
Santiago Canyon,2020-2021,23637,281
Santiago Canyon,2021-2022,21926,211
Santiago Canyon,2022-2023,21683,183
Santiago Canyon,2023-2024,21837,208
Sequoias,2020-2021,14736,1177
Sequoias,2021-2022,14162,1188
Sequoias,2022-2023,15404,1186
Sequoias,2023-2024,16525,1190
Shasta,2020-2021,9913,815
Shasta,2021-2022,9798,783
Shasta,2022-2023,10476,868
Shasta,2023-2024,11584,917
Sierra,2020-2021,21009,732
Sierra,2021-2022,20220,726
Sierra,2022-2023,21230,689
Sierra,2023-2024,23225,933
Siskiyous,2020-2021,2568,143
Siskiyous,2021-2022,2971,119
Siskiyous,2022-2023,2344,123
Siskiyous,2023-2024,2498,160
Skyline,2020-2021,15780,197
Skyline,2021-2022,14097,150
Skyline,2022-2023,13978,152
Skyline,2023-2024,15353,231
Solano,2020-2021,11842,201
Solano,2021-2022,10153,165
Solano,2022-2023,10777,210
Solano,2023-2024,11554,267
Southwestern,2020-2021,22896,2077
Southwestern,2021-2022,21275,1708
Southwestern,2022-2023,22909,1889
Southwestern,2023-2024,25862,1945
Taft,2020-2021,5386,242
Taft,2021-2022,5986,221
Taft,2022-2023,6293,212
Taft,2023-2024,7080,301
Ventura,2020-2021,16093,465
Ventura,2021-2022,14058,595
Ventura,2022-2023,14482,472
Ventura,2023-2024,16061,552
Victor Valley,2020-2021,12744,1094
Victor Valley,2021-2022,12768,1063
Victor Valley,2022-2023,15808,1221
Victor Valley,2023-2024,18447,1265
West Hills Coalinga,2020-2021,5542,234
West Hills Coalinga,2021-2022,5138,225
West Hills Coalinga,2022-2023,4302,218
West Hills Coalinga,2023-2024,5060,216
West Hills Lemoore,2020-2021,5747,379
West Hills Lemoore,2021-2022,5396,346
West Hills Lemoore,2022-2023,5797,402
West Hills Lemoore,2023-2024,6109,501
West LA,2020-2021,19512,630
West LA,2021-2022,15723,575
West LA,2022-2023,14866,693
West LA,2023-2024,15883,793
West Valley,2020-2021,11780,361
West Valley,2021-2022,10814,303
West Valley,2022-2023,11565,313
West Valley,2023-2024,12760,379
Woodland,2020-2021,5507,415
Woodland,2021-2022,4710,403
Woodland,2022-2023,4950,394
Woodland,2023-2024,5738,435
Yuba,2020-2021,7500,592
Yuba,2021-2022,6694,523
Yuba,2022-2023,7149,447
Yuba,2023-2024,7849,480
