College,Year,Student Count,EOPS Student Count
Alameda,2020-2021,9805,373
Alameda,2021-2022,8719,268
Alameda,2022-2023,8913,737
Alameda,2023-2024,9902,605
Allan Hancock,2020-2021,14781,1016
Allan Hancock,2021-2022,16167,967
Allan Hancock,2022-2023,16354,1001
Allan Hancock,2023-2024,17480,1020
American River,2020-2021,34158,1086
American River,2021-2022,35419,996
American River,2022-2023,36925,946
American River,2023-2024,41849,1122
Antelope Valley,2020-2021,14996,528
Antelope Valley,2021-2022,13692,442
Antelope Valley,2022-2023,14564,411
Antelope Valley,2023-2024,16210,358
Bakersfield,2020-2021,33056,1821
Bakersfield,2021-2022,31199,1783
Bakersfield,2022-2023,35017,1996
Bakersfield,2023-2024,38970,2083
Barstow,2020-2021,2780,326
Barstow,2021-2022,3305,386
Barstow,2022-2023,4060,366
Barstow,2023-2024,4238,367
Berkeley City,2020-2021,11114,166
Berkeley City,2021-2022,9893,112
Berkeley City,2022-2023,10411,144
Berkeley City,2023-2024,11300,121
Butte,2020-2021,11173,577
Butte,2021-2022,11223,464
Butte,2022-2023,11872,574
Butte,2023-2024,12358,702
Cabrillo,2020-2021,13797,318
Cabrillo,2021-2022,12000,273
Cabrillo,2022-2023,13119,374
Cabrillo,2023-2024,13821,331
Calbright College,2020-2021,488,0
Calbright College,2021-2022,15,0
Calbright College,2022-2023,33,0
Calbright College,2023-2024,83,0
Canada,2020-2021,9031,248
Canada,2021-2022,7849,214
Canada,2022-2023,8295,196
Canada,2023-2024,9501,237
Canyons,2020-2021,32130,374
Canyons,2021-2022,28751,307
Canyons,2022-2023,30313,300
Canyons,2023-2024,33199,337
Cerritos,2020-2021,26193,911
Cerritos,2021-2022,25555,830
Cerritos,2022-2023,29379,877
Cerritos,2023-2024,32191,1059
Cerro Coso,2020-2021,6972,234
Cerro Coso,2021-2022,6738,197
Cerro Coso,2022-2023,6802,221
Cerro Coso,2023-2024,7405,269
Chabot Hayward,2020-2021,15973,441
Chabot Hayward,2021-2022,14724,408
Chabot Hayward,2022-2023,15032,413
Chabot Hayward,2023-2024,16375,426
Chaffey,2020-2021,22939,904
Chaffey,2021-2022,21929,922
Chaffey,2022-2023,24771,956
Chaffey,2023-2024,28055,995
Citrus,2020-2021,16906,525
Citrus,2021-2022,14031,428
Citrus,2022-2023,14280,633
Citrus,2023-2024,14404,780
Clovis,2020-2021,13005,470
Clovis,2021-2022,10965,524
Clovis,2022-2023,11508,565
Clovis,2023-2024,13600,597
Coastline,2020-2021,14709,394
Coastline,2021-2022,12698,374
Coastline,2022-2023,13560,298
Coastline,2023-2024,15256,310
Columbia,2020-2021,2663,185
Columbia,2021-2022,2947,134
Columbia,2022-2023,3209,173
Columbia,2023-2024,3230,238
Compton,2020-2021,6045,339
Compton,2021-2022,5377,290
Compton,2022-2023,5180,369
Compton,2023-2024,6293,442
Contra Costa,2020-2021,8504,646
Contra Costa,2021-2022,7523,582
Contra Costa,2022-2023,8222,584
Contra Costa,2023-2024,8729,669
Copper Mountain,2020-2021,2185,138
Copper Mountain,2021-2022,1880,141
Copper Mountain,2022-2023,1768,154
Copper Mountain,2023-2024,1923,169
Cosumnes River,2020-2021,19738,660
Cosumnes River,2021-2022,17832,530
Cosumnes River,2022-2023,17872,575
Cosumnes River,2023-2024,20291,574
Crafton Hills,2020-2021,7601,373
Crafton Hills,2021-2022,6649,300
Crafton Hills,2022-2023,6812,258
Crafton Hills,2023-2024,8258,326
Cuesta,2020-2021,13410,235
Cuesta,2021-2022,13848,216
Cuesta,2022-2023,15069,201
Cuesta,2023-2024,15583,242
Cuyamaca,2020-2021,11470,669
Cuyamaca,2021-2022,10745,614
Cuyamaca,2022-2023,10932,705
Cuyamaca,2023-2024,11511,903
Cypress,2020-2021,18942,993
Cypress,2021-2022,16862,814
Cypress,2022-2023,16390,801
Cypress,2023-2024,17606,780
Deanza,2020-2021,26560,743
Deanza,2021-2022,24483,596
Deanza,2022-2023,24138,587
Deanza,2023-2024,25362,474
Desert,2020-2021,12668,441
Desert,2021-2022,13331,432
Desert,2022-2023,15328,476
Desert,2023-2024,15428,336
Diablo Valley,2020-2021,26115,691
Diablo Valley,2021-2022,22917,582
Diablo Valley,2022-2023,21684,520
Diablo Valley,2023-2024,22428,548
East LA,2020-2021,49680,1354
East LA,2021-2022,45883,1037
East LA,2022-2023,48138,1100
East LA,2023-2024,55278,1280
El Camino,2020-2021,27702,1448
El Camino,2021-2022,27195,1155
El Camino,2022-2023,29101,1164
El Camino,2023-2024,30724,1275
Evergreen Valley,2020-2021,12689,370
Evergreen Valley,2021-2022,11392,271
Evergreen Valley,2022-2023,11407,276
Evergreen Valley,2023-2024,13041,326
Feather River,2020-2021,2401,100
Feather River,2021-2022,2288,96
Feather River,2022-2023,2466,72
Feather River,2023-2024,2551,103
Folsom Lake,2020-2021,12886,302
Folsom Lake,2021-2022,11447,244
Folsom Lake,2022-2023,12033,264
Folsom Lake,2023-2024,14407,332
Foothill,2020-2021,26140,257
Foothill,2021-2022,22582,223
Foothill,2022-2023,22699,230
Foothill,2023-2024,23349,291
Fresno City,2020-2021,31542,2113
Fresno City,2021-2022,29263,2008
Fresno City,2022-2023,33188,2196
Fresno City,2023-2024,34732,2498
Fullerton,2020-2021,27993,1287
Fullerton,2021-2022,23400,1023
Fullerton,2022-2023,24120,974
Fullerton,2023-2024,23929,877
Gavilan,2020-2021,6883,430
Gavilan,2021-2022,6659,422
Gavilan,2022-2023,7847,420
Gavilan,2023-2024,10200,428
Glendale,2020-2021,19115,1880
Glendale,2021-2022,17890,1708
Glendale,2022-2023,19121,1567
Glendale,2023-2024,20911,2043
Golden West,2020-2021,16550,627
Golden West,2021-2022,15181,543
Golden West,2022-2023,16069,614
Golden West,2023-2024,16794,702
Grossmont,2020-2021,18580,712
Grossmont,2021-2022,16130,576
Grossmont,2022-2023,16546,716
Grossmont,2023-2024,17656,990
Hartnell,2020-2021,11376,621
Hartnell,2021-2022,12370,600
Hartnell,2022-2023,10681,518
Hartnell,2023-2024,13593,566
Imperial,2020-2021,8327,1511
Imperial,2021-2022,8882,1387
Imperial,2022-2023,9191,1803
Imperial,2023-2024,9338,2465
Irvine,2020-2021,19355,704
Irvine,2021-2022,18118,540
Irvine,2022-2023,18319,566
Irvine,2023-2024,20534,707
LA City,2020-2021,24610,2013
LA City,2021-2022,21860,1599
LA City,2022-2023,23730,1635
LA City,2023-2024,26019,1600
LA Harbor,2020-2021,11268,566
LA Harbor,2021-2022,9570,451
LA Harbor,2022-2023,11376,574
LA Harbor,2023-2024,14094,614
LA Mission,2020-2021,14496,642
LA Mission,2021-2022,14142,592
LA Mission,2022-2023,15017,669
LA Mission,2023-2024,17643,852
LA Pierce,2020-2021,25499,942
LA Pierce,2021-2022,21877,649
LA Pierce,2022-2023,22726,792
LA Pierce,2023-2024,24246,794
LA Swest,2020-2021,9343,260
LA Swest,2021-2022,8498,202
LA Swest,2022-2023,9387,299
LA Swest,2023-2024,9542,306
LA Trade,2020-2021,18856,832
LA Trade,2021-2022,16127,718
LA Trade,2022-2023,16774,1039
LA Trade,2023-2024,19571,1259
LA Valley,2020-2021,23649,915
LA Valley,2021-2022,21036,865
LA Valley,2022-2023,23340,1104
LA Valley,2023-2024,25109,1116
Lake Tahoe,2020-2021,5835,92
Lake Tahoe,2021-2022,6226,77
Lake Tahoe,2022-2023,8532,112
Lake Tahoe,2023-2024,9425,158
Laney,2020-2021,15037,596
Laney,2021-2022,13955,476
Laney,2022-2023,15502,481
Laney,2023-2024,16004,505
Las Positas,2020-2021,10695,299
Las Positas,2021-2022,8952,222
Las Positas,2022-2023,9150,237
Las Positas,2023-2024,10214,278
Lassen,2020-2021,2571,156
Lassen,2021-2022,2448,105
Lassen,2022-2023,2643,212
Lassen,2023-2024,2760,211
Long Beach,2020-2021,33028,1442
Long Beach,2021-2022,33038,1173
Long Beach,2022-2023,33211,1227
Long Beach,2023-2024,36717,1515
Los Medanos,2020-2021,11016,618
Los Medanos,2021-2022,9722,496
Los Medanos,2022-2023,9955,524
Los Medanos,2023-2024,10467,667
Madera,2020-2021,6343,248
Madera,2021-2022,7449,206
Madera,2022-2023,8319,232
Madera,2023-2024,9782,323
Marin,2020-2021,6423,284
Marin,2021-2022,6973,292
Marin,2022-2023,7396,291
Marin,2023-2024,8510,295
Mendocino,2020-2021,4032,426
Mendocino,2021-2022,4639,383
Mendocino,2022-2023,5554,411
Mendocino,2023-2024,6360,473
Merced,2020-2021,12309,927
Merced,2021-2022,12352,1053
Merced,2022-2023,13667,1178
Merced,2023-2024,15147,1319
Merritt,2020-2021,10807,305
Merritt,2021-2022,10909,170
Merritt,2022-2023,10996,169
Merritt,2023-2024,12039,224
MiraCosta,2020-2021,15312,527
MiraCosta,2021-2022,14362,502
MiraCosta,2022-2023,15276,532
MiraCosta,2023-2024,16954,571
Mission,2020-2021,10123,370
Mission,2021-2022,9455,321
Mission,2022-2023,9568,422
Mission,2023-2024,10593,469
Modesto,2020-2021,19273,1138
Modesto,2021-2022,18882,1207
Modesto,2022-2023,20028,1090
Modesto,2023-2024,21125,1329
Monterey,2020-2021,9572,520
Monterey,2021-2022,9052,504
Monterey,2022-2023,9202,554
Monterey,2023-2024,10162,582
Moorpark,2020-2021,19609,413
Moorpark,2021-2022,17206,417
Moorpark,2022-2023,17422,395
Moorpark,2023-2024,19313,553
